"URL","Titel","Land","Beschreibung","Ort","Bezug","Staatlich_Öffentlich","Geoportal","GDI","lon","lat"
"https://www.geoportal.nrw/","GDI NRW","Deutschland","","Nordrhein-Westfalen","regional","ja","ja","ja",7.66093713741816,51.455701102491
"http://offenedaten.kdvz-frechen.de/","Offene Daten kdvz Rhein-Erft-Rur","Deutschland","Stadt Kerpen, Gemeinde Kall, Stadt Brühl, Kreis Euskirchen, Stadt Elsdorf, Stadt Bergheim, Gemeinde Langerwehe, Gemeinde Hürtgenwald, Gemeinde Vettweiß, Stadt Jülich, Gemeinde Merzenich, Stadt Wesseling, Stadt Heimbach, Gemeinde Kreuzau, Stadt Linnich, Stadt Bad Münstereifel, Gemeinde Titz, Stadt Bedburg","Nordrhein-Westfalen","kommunal","ja","","",7.69303920545954,51.4223554341947
"https://open.nrw/","Open Data | Open.NRW","Deutschland","Open.NRW unterstützt Verwaltungen, Bürgerinnen und Bürger sowie weitere externe Akteure bei dem offenen Austausch und der Zusammenarbeit.","Nordrhein-Westfalen","regional","ja","","",7.6308050586719,51.4216452517829
"http://www.geoportal.rlp.de/","GDI Rhein­land-Pfalz","Deutschland","","Rhein­land-Pfalz","regional","ja","ja","ja",7.30816091250868,50.1408118212995
"https://daten.rlp.de/","Open-Government-Data-Portal Rheinland-Pfalz","Deutschland","","Rheinland-Pfalz","regional","ja","","",7.30974348841567,50.0958800920519
"http://geoportal.saarland.de/","GDI Saarland","Deutschland","","Saarland","regional","ja","ja","ja",7.02296070006277,49.3964234044813
"http://www.gdi.sachsen.de/","GDI Sachsen","Deutschland","","Sachsen","regional","ja","ja","ja",13.2037754862241,51.1269519870541
"http://www.opendata.sachsen.de","Open Data - Verfügbare Datenbestände des Freistaats Sachsen","Deutschland","Inhalte des OpenData Projektes","Sachsen","regional","ja","","",13.1997039379125,51.0821292765708
"http://www.lvermgeo.sachsen-anhalt.de/de/main.htm","GDI Sachsen-Anhalt","Deutschland","","Sachsen-Anhalt","regional","ja","ja","ja",11.6922734048697,51.9502649051247
"https://offenedaten.de/organization/salzgitter","Salzgitter","Deutschland","","Salzgitter","kommunal","ja","","",10.3899000035511,52.1379000053753
"http://www.gdi-sh.de/","GDI Schleswig-Holstein","Deutschland","Einheitlicher Ansprechpartner","Schleswig-Holstein","regional","ja","ja","ja",9.69611670258285,54.2193672055673
"http://www.geoportal-th.de/","GDI Thüringen","Deutschland","","Thüringen","regional","ja","ja","ja",10.845346004165,51.0109892049968
"http://daten.ulm.de/","daten.ulm.de","Deutschland","","Ulm","kommunal","ja","","",9.98760760346653,48.4010822037587
